city,latitude,longitude,weather_main,weather_description,base,temperature,feels_like,minimum_temperature,maximum_temperature,pressure,humidity,sea_level,ground_level,visibility,wind_speed,wind_direction,gust,clouds,weather_time,sunrise,sunset,country,location_name,extraction_time,weather_hour,date,time,day_of_week
panda,9.2624,7.8385,rain,light rain,stations,30.57,34.66,30.57,30.57,1012,63,1012,969,10000,2.64,145,2.31,68,2026-06-05 12:23:20,2026-06-05 05:08:05,2026-06-05 17:46:26,NG,Maitama,2026-06-05 12:23:21.472807,12,2026-06-05,12:23:20,Friday
gurara,9.322,7.0232,rain,light rain,stations,30.47,34.21,30.47,30.47,1011,62,1011,971,10000,2.06,184,1.91,89,2026-06-05 12:23:21,2026-06-05 05:11:15,2026-06-05 17:49:48,NG,Suleja,2026-06-05 12:23:22.115248,12,2026-06-05,12:23:21,Friday
bwari,9.2856,7.3787,rain,light rain,stations,29.73,32.51,29.73,29.73,1012,61,1012,950,10000,1.84,181,1.81,80,2026-06-05 12:23:22,2026-06-05 05:09:53,2026-06-05 17:48:19,NG,Maitama,2026-06-05 12:23:22.780795,12,2026-06-05,12:23:22,Friday
gwagwalada,9.0764,6.9854,rain,light rain,stations,33.29,37.82,33.29,33.29,1011,53,1011,988,10000,1.73,160,1.71,87,2026-06-05 12:23:22,2026-06-05 05:11:49,2026-06-05 17:49:32,NG,Kwali,2026-06-05 12:23:23.445441,12,2026-06-05,12:23:22,Friday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,30.16,34.0,30.16,30.16,1011,64,1011,1000,10000,2.34,199,2.81,100,2026-06-05 12:23:23,2026-06-05 05:07:55,2026-06-05 17:41:02,NG,Walmayo,2026-06-05 12:23:23.804682,12,2026-06-05,12:23:23,Friday
panda,9.2624,7.8385,rain,light rain,stations,29.99,33.43,29.99,29.99,1009,63,1009,966,10000,2.87,187,3.5,100,2026-06-05 15:14:59,2026-06-05 05:08:05,2026-06-05 17:46:26,NG,Maitama,2026-06-05 15:15:00.189868,15,2026-06-05,15:14:59,Friday
gurara,9.322,7.0232,clouds,overcast clouds,stations,31.9,34.91,31.9,31.9,1009,53,1009,969,10000,1.36,134,1.63,100,2026-06-05 15:15:00,2026-06-05 05:11:15,2026-06-05 17:49:48,NG,Suleja,2026-06-05 15:15:00.760855,15,2026-06-05,15:15:00,Friday
bwari,9.2856,7.3787,rain,light rain,stations,29.39,31.88,29.39,29.39,1009,61,1009,948,10000,1.47,172,1.62,99,2026-06-05 15:15:00,2026-06-05 05:09:53,2026-06-05 17:48:19,NG,Maitama,2026-06-05 15:15:01.331294,15,2026-06-05,15:15:00,Friday
gwagwalada,9.0764,6.9854,clouds,overcast clouds,stations,33.48,36.97,33.48,33.48,1008,49,1008,986,10000,1.86,120,1.74,100,2026-06-05 15:15:01,2026-06-05 05:11:49,2026-06-05 17:49:32,NG,Kwali,2026-06-05 15:15:01.911450,15,2026-06-05,15:15:01,Friday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,31.26,35.14,31.26,31.26,1009,59,1009,998,10000,1.69,175,1.88,100,2026-06-05 15:15:01,2026-06-05 05:07:55,2026-06-05 17:41:02,NG,Walmayo,2026-06-05 15:15:02.487608,15,2026-06-05,15:15:01,Friday
panda,9.2624,7.8385,rain,moderate rain,stations,25.03,25.86,25.03,25.03,1011,87,1011,968,5009,2.01,104,3.08,100,2026-06-05 17:59:38,2026-06-05 05:08:05,2026-06-05 17:46:26,NG,Maitama,2026-06-05 17:59:39.059772,17,2026-06-05,17:59:38,Friday
gurara,9.322,7.0232,rain,moderate rain,stations,27.25,29.58,27.25,27.25,1010,73,1010,969,10000,1.61,132,1.7,100,2026-06-05 17:59:39,2026-06-05 05:11:15,2026-06-05 17:49:48,NG,Suleja,2026-06-05 17:59:39.616595,17,2026-06-05,17:59:39,Friday
bwari,9.2856,7.3787,rain,moderate rain,stations,24.34,25.05,24.34,24.34,1011,85,1011,949,4553,1.94,123,2.24,99,2026-06-05 17:59:39,2026-06-05 05:09:53,2026-06-05 17:48:19,NG,Maitama,2026-06-05 17:59:40.170828,17,2026-06-05,17:59:39,Friday
gwagwalada,9.0764,6.9854,rain,light rain,stations,29.27,32.37,29.27,29.27,1009,65,1009,986,10000,2.31,151,4.59,91,2026-06-05 17:59:40,2026-06-05 05:11:49,2026-06-05 17:49:32,NG,Kwali,2026-06-05 17:59:40.727756,17,2026-06-05,17:59:40,Friday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,27.82,30.83,27.82,27.82,1010,74,1010,999,10000,2.78,163,6.61,100,2026-06-05 17:59:40,2026-06-05 05:07:55,2026-06-05 17:41:02,NG,Walmayo,2026-06-05 17:59:41.198584,17,2026-06-05,17:59:40,Friday
panda,9.2624,7.8385,rain,moderate rain,stations,24.55,25.33,24.55,24.55,1014,87,1014,970,10000,1.73,20,2.23,82,2026-06-05 20:05:55,2026-06-05 05:08:05,2026-06-05 17:46:26,NG,Maitama,2026-06-05 20:05:56.199461,20,2026-06-05,20:05:55,Friday
gurara,9.322,7.0232,rain,moderate rain,stations,25.1,25.83,25.1,25.1,1013,83,1013,972,3803,2.66,84,4.71,99,2026-06-05 20:05:56,2026-06-05 05:11:15,2026-06-05 17:49:48,NG,Suleja,2026-06-05 20:05:56.755821,20,2026-06-05,20:05:56,Friday
bwari,9.2856,7.3787,rain,moderate rain,stations,23.3,23.98,23.3,23.3,1014,88,1014,951,9821,2.72,62,5.76,79,2026-06-05 20:05:56,2026-06-05 05:09:53,2026-06-05 17:48:19,NG,Maitama,2026-06-05 20:05:57.306906,20,2026-06-05,20:05:56,Friday
gwagwalada,9.0764,6.9854,rain,moderate rain,stations,26.41,26.41,26.41,26.41,1012,81,1012,989,10000,1.91,80,2.51,98,2026-06-05 20:05:57,2026-06-05 05:11:49,2026-06-05 17:49:32,NG,Kwali,2026-06-05 20:05:57.515731,20,2026-06-05,20:05:57,Friday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,25.9,26.71,25.9,25.9,1012,83,1012,1001,10000,2.17,152,5.94,98,2026-06-05 20:05:57,2026-06-05 05:07:55,2026-06-05 17:41:02,NG,Walmayo,2026-06-05 20:05:58.070442,20,2026-06-05,20:05:57,Friday
panda,9.2624,7.8385,clouds,overcast clouds,stations,24.12,24.89,24.12,24.12,1014,88,1014,970,10000,0.6,339,0.69,93,2026-06-05 23:14:36,2026-06-06 05:08:11,2026-06-06 17:46:42,NG,Maitama,2026-06-05 23:14:37.159742,23,2026-06-05,23:14:36,Friday
gurara,9.322,7.0232,rain,moderate rain,stations,22.07,22.76,22.07,22.07,1013,93,1013,972,10000,1.38,303,2.57,100,2026-06-05 23:14:37,2026-06-06 05:11:20,2026-06-06 17:50:04,NG,Suleja,2026-06-05 23:14:37.753728,23,2026-06-05,23:14:37,Friday
bwari,9.2856,7.3787,clouds,overcast clouds,stations,22.96,23.64,22.96,22.96,1014,89,1014,951,10000,0.13,143,0.87,92,2026-06-05 23:14:37,2026-06-06 05:09:59,2026-06-06 17:48:35,NG,Maitama,2026-06-05 23:14:38.354678,23,2026-06-05,23:14:37,Friday
gwagwalada,9.0764,6.9854,rain,moderate rain,stations,23.62,24.41,23.62,23.62,1013,91,1013,990,10000,2.38,311,4.67,99,2026-06-05 23:14:38,2026-06-06 05:11:55,2026-06-06 17:49:47,NG,Kwali,2026-06-05 23:14:38.954634,23,2026-06-05,23:14:38,Friday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,24.74,25.65,24.74,24.74,1013,91,1013,1002,10000,1.77,180,3.68,95,2026-06-05 23:14:39,2026-06-06 05:08:01,2026-06-06 17:41:16,NG,Walmayo,2026-06-05 23:14:39.548354,23,2026-06-05,23:14:39,Friday
panda,9.2624,7.8385,clouds,overcast clouds,stations,22.78,23.59,22.78,22.78,1013,95,1013,969,10000,0.82,157,0.9,95,2026-06-06 03:56:31,2026-06-06 05:08:11,2026-06-06 17:46:42,NG,Maitama,2026-06-06 03:56:31.897319,3,2026-06-06,03:56:31,Saturday
gurara,9.322,7.0232,clouds,overcast clouds,stations,23.14,23.96,23.14,23.14,1012,94,1012,971,10000,1.45,189,3.42,100,2026-06-06 03:56:31,2026-06-06 05:11:20,2026-06-06 17:50:04,NG,Suleja,2026-06-06 03:56:32.499472,3,2026-06-06,03:56:31,Saturday
bwari,9.2856,7.3787,clouds,overcast clouds,stations,21.98,22.71,21.98,21.98,1013,95,1013,950,10000,1.16,206,1.78,100,2026-06-06 03:56:32,2026-06-06 05:09:59,2026-06-06 17:48:35,NG,Maitama,2026-06-06 03:56:32.914759,3,2026-06-06,03:56:32,Saturday
gwagwalada,9.0764,6.9854,clouds,overcast clouds,stations,23.99,24.9,23.99,23.99,1012,94,1012,989,10000,1.3,187,2.53,100,2026-06-06 03:56:32,2026-06-06 05:11:55,2026-06-06 17:49:47,NG,Kwali,2026-06-06 03:56:33.505801,3,2026-06-06,03:56:32,Saturday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,23.62,24.49,23.62,23.62,1012,94,1012,1001,10000,1.56,209,4.83,95,2026-06-06 03:56:33,2026-06-06 05:08:01,2026-06-06 17:41:16,NG,Walmayo,2026-06-06 03:56:34.097150,3,2026-06-06,03:56:33,Saturday
panda,9.2624,7.8385,clouds,overcast clouds,stations,23.96,24.68,23.96,23.96,1014,87,1014,971,10000,1.06,146,1.56,100,2026-06-06 07:21:32,2026-06-06 05:08:11,2026-06-06 17:46:42,NG,Maitama,2026-06-06 07:21:32.670715,7,2026-06-06,07:21:32,Saturday
gurara,9.322,7.0232,clouds,overcast clouds,stations,24.3,25.06,24.3,24.3,1014,87,1014,973,10000,2.17,184,3.98,94,2026-06-06 07:21:32,2026-06-06 05:11:20,2026-06-06 17:50:04,NG,Suleja,2026-06-06 07:21:33.322765,7,2026-06-06,07:21:32,Saturday
bwari,9.2856,7.3787,clouds,overcast clouds,stations,23.35,24.01,23.35,23.35,1014,87,1014,951,10000,1.47,167,2.57,97,2026-06-06 07:21:33,2026-06-06 05:09:59,2026-06-06 17:48:35,NG,Maitama,2026-06-06 07:21:33.948567,7,2026-06-06,07:21:33,Saturday
gwagwalada,9.0764,6.9854,clouds,overcast clouds,stations,25.49,26.26,25.49,25.49,1014,83,1014,990,10000,1.81,189,3.38,99,2026-06-06 07:21:34,2026-06-06 05:11:55,2026-06-06 17:49:47,NG,Kwali,2026-06-06 07:21:34.607033,7,2026-06-06,07:21:34,Saturday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,25.3,26.0,25.3,25.3,1014,81,1014,1003,10000,1.53,210,2.43,100,2026-06-06 07:21:34,2026-06-06 05:08:01,2026-06-06 17:41:16,NG,Walmayo,2026-06-06 07:21:35.130055,7,2026-06-06,07:21:34,Saturday
panda,9.2624,7.8385,clouds,overcast clouds,stations,29.61,32.67,29.61,29.61,1014,63,1014,971,10000,1.05,203,0.79,100,2026-06-06 10:09:48,2026-06-06 05:08:11,2026-06-06 17:46:42,NG,Maitama,2026-06-06 10:09:49.041326,10,2026-06-06,10:09:48,Saturday
gurara,9.322,7.0232,clouds,overcast clouds,stations,28.86,31.57,28.86,28.86,1014,65,1014,973,10000,2.23,190,2.22,96,2026-06-06 10:09:49,2026-06-06 05:11:20,2026-06-06 17:50:04,NG,Suleja,2026-06-06 10:09:49.594538,10,2026-06-06,10:09:49,Saturday
